tp_grau_academico,co_curso,enade_faixa
bacharelado,1125326,5
tecnologico,1125642,5
bacharelado,1125881,4
bacharelado,1126514,4
tecnologico,1126604,5
tecnologico,1126732,5
bacharelado,1126958,4
tecnologico,1127161,2
bacharelado,1127343,3
bacharelado,1127370,5
tecnologico,1127740,3
tecnologico,1127888,4
bacharelado,1127894,3
tecnologico,1127951,4
tecnologico,1127980,3
tecnologico,1127982,3
tecnologico,1128153,4
tecnologico,1128376,4
tecnologico,1128551,4
bacharelado,1128675,4
bacharelado,1128677,4
bacharelado,1128678,5
bacharelado,1128679,5
tecnologico,1129104,3
tecnologico,1129882,4
bacharelado,1132074,5
tecnologico,1135705,3
bacharelado,1138344,5
bacharelado,1138345,5
bacharelado,1139343,2
bacharelado,1139493,3
bacharelado,1139496,3
bacharelado,1139597,3
tecnologico,1142406,3
tecnologico,1142485,4
bacharelado,1148015,4
bacharelado,1148034,4
tecnologico,1149888,4
tecnologico,1149898,3
tecnologico,1150252,4
tecnologico,1150260,4
tecnologico,1150265,4
tecnologico,1150283,4
tecnologico,1150290,3
tecnologico,1150327,3
tecnologico,1150371,4
tecnologico,1150383,4
tecnologico,1150400,3
tecnologico,1150418,4
tecnologico,1150426,5
tecnologico,1150458,3
tecnologico,1150469,5
tecnologico,1150484,4
tecnologico,1150496,4
tecnologico,1150700,4
tecnologico,1150796,4
tecnologico,1150942,4
tecnologico,1151139,3
bacharelado,1151168,1
bacharelado,1151169,2
bacharelado,1151781,2
tecnologico,1152530,3
bacharelado,1152630,5
tecnologico,1152728,4
tecnologico,1153086,4
tecnologico,1153281,4
tecnologico,1153635,4
tecnologico,1156223,3
tecnologico,1156224,5
bacharelado,1156266,3
tecnologico,1156646,3
tecnologico,1156897,3
bacharelado,1157031,4
bacharelado,1157936,3
bacharelado,1160421,4
bacharelado,1160838,5
bacharelado,1161235,3
tecnologico,1161237,4
bacharelado,1161406,5
bacharelado,1161626,0
tecnologico,1161643,4
tecnologico,1163760,3
bacharelado,1166595,4
tecnologico,1166665,2
bacharelado,1167795,4
tecnologico,1167926,3
bacharelado,1168596,4
bacharelado,1168654,4
tecnologico,1168942,0
bacharelado,1172805,3
bacharelado,1175729,2
bacharelado,1177364,4
tecnologico,1178610,3
bacharelado,1178675,5
bacharelado,1178683,3
bacharelado,1178684,4
bacharelado,1178765,2
tecnologico,1178786,4
tecnologico,1178852,2
tecnologico,1179042,4
bacharelado,1179164,2
tecnologico,1180085,4
tecnologico,1180457,4
tecnologico,1181263,4
tecnologico,1182800,5
bacharelado,1183082,4
bacharelado,1183351,5
tecnologico,1183601,4
bacharelado,1183789,2
bacharelado,1184319,4
bacharelado,1184730,2
bacharelado,1185016,3
bacharelado,1185902,2
bacharelado,1188088,4
bacharelado,1188421,2
bacharelado,1188474,4
tecnologico,1188616,1
bacharelado,1188874,4
bacharelado,1188933,4
tecnologico,1189018,5
bacharelado,1189915,4
bacharelado,1190445,4
tecnologico,1190580,3
bacharelado,1191027,4
bacharelado,1191218,3
bacharelado,1191291,3
bacharelado,1191700,4
tecnologico,1204018,3
tecnologico,1209150,5
tecnologico,1213442,4
bacharelado,1213916,2
bacharelado,1214190,3
tecnologico,1214441,4
bacharelado,1215490,3
bacharelado,1216229,5
tecnologico,1260936,4
bacharelado,1261051,4
bacharelado,1262461,4
tecnologico,1263897,5
tecnologico,1264305,3
bacharelado,1264907,4
bacharelado,1264959,4
bacharelado,1264960,2
bacharelado,1265319,3
bacharelado,1265365,3
bacharelado,1265414,4
bacharelado,1267239,3
bacharelado,1267282,5
bacharelado,1267553,4
bacharelado,1268219,5
bacharelado,1268283,5
bacharelado,1268539,3
bacharelado,1269879,3
bacharelado,1270313,2
bacharelado,1270315,3
tecnologico,1270437,5
bacharelado,1270650,3
bacharelado,1270683,1
bacharelado,1270725,4
bacharelado,1270731,4
bacharelado,1272127,3
bacharelado,1272129,3
bacharelado,1276154,3
bacharelado,1276413,2
bacharelado,1276879,4
bacharelado,1278853,5
bacharelado,1278988,4
tecnologico,1279069,0
tecnologico,1279095,3
bacharelado,1279598,3
bacharelado,1279922,4
tecnologico,1283114,2
tecnologico,1284835,3
tecnologico,1286473,4
bacharelado,1287475,4
bacharelado,1288270,4
tecnologico,1292872,5
tecnologico,1292964,4
bacharelado,1297373,5
bacharelado,1297385,5
tecnologico,1298973,4
bacharelado,1300177,3
bacharelado,1300503,4
tecnologico,1303511,0
bacharelado,1304118,3
bacharelado,1304510,4
bacharelado,1304865,3
tecnologico,1307325,3
tecnologico,1312315,2
bacharelado,1313150,3
bacharelado,1313155,4
bacharelado,1313165,3
bacharelado,1313168,4
bacharelado,1313169,2
bacharelado,1313170,3
tecnologico,1313174,4
tecnologico,1313176,4
bacharelado,1313191,2
bacharelado,1313220,3
bacharelado,1313259,4
bacharelado,1313441,3
tecnologico,1313446,4
bacharelado,1313521,4
tecnologico,1313968,3
tecnologico,1314255,2
bacharelado,1314430,4
bacharelado,1314431,0
bacharelado,1314433,3
bacharelado,1314434,2
bacharelado,1314990,3
bacharelado,1315485,3
bacharelado,1319231,5
bacharelado,1321288,4
tecnologico,1321291,4
bacharelado,1321651,3
tecnologico,1321766,4
tecnologico,1321907,3
tecnologico,1322605,5
tecnologico,1323760,3
tecnologico,1324509,4
tecnologico,1327250,2
bacharelado,1327469,5
bacharelado,1327484,2
bacharelado,1327515,2
bacharelado,1327516,4
tecnologico,1327560,3
bacharelado,1328737,4
tecnologico,1328771,1
tecnologico,1330005,4
bacharelado,1330027,4
tecnologico,1330028,4
bacharelado,1330077,2
tecnologico,1330110,3
tecnologico,1330187,3
tecnologico,1330463,4
tecnologico,1330814,3
tecnologico,1330818,3
bacharelado,1331001,3
tecnologico,1333077,3
bacharelado,1333090,3
bacharelado,1333092,2
bacharelado,1334005,3
tecnologico,1334009,5
bacharelado,1341190,4
tecnologico,1341196,2
tecnologico,1341343,3
tecnologico,1342407,4
bacharelado,1342445,3
tecnologico,1342448,4
bacharelado,1342523,4
bacharelado,1342611,3
bacharelado,1342617,5
bacharelado,1342685,2
bacharelado,1342686,3
bacharelado,1351144,0
bacharelado,1351543,3
bacharelado,1353994,1
bacharelado,1357714,4
tecnologico,1358001,3
bacharelado,1363950,5
bacharelado,1363952,5
bacharelado,1364273,3
bacharelado,1365768,4
bacharelado,1366344,3
bacharelado,1366556,3
tecnologico,1366640,3
tecnologico,1366648,4
bacharelado,1367868,2
tecnologico,1368246,2
bacharelado,1369296,3
tecnologico,1370719,4
tecnologico,1375422,2
bacharelado,1375424,3
tecnologico,1375996,3
bacharelado,1375997,3
bacharelado,1376003,3
bacharelado,1376006,3
bacharelado,1376048,4
tecnologico,1376260,4
bacharelado,1376265,5
tecnologico,1377488,1
bacharelado,1377502,3
tecnologico,1377590,4
tecnologico,1377614,3
tecnologico,1382951,2
bacharelado,1388356,2
tecnologico,1390496,3
bacharelado,1395932,4
tecnologico,1395994,3
bacharelado,1396245,5
tecnologico,1399241,3
bacharelado,1400199,3
tecnologico,1400719,4
bacharelado,1401138,3
bacharelado,1404085,3
bacharelado,1404304,5
bacharelado,1405320,4
bacharelado,1409703,3
bacharelado,1417984,3
bacharelado,1419552,3
bacharelado,1419673,4
bacharelado,1419832,4
bacharelado,1419837,3
bacharelado,1419860,4
bacharelado,1420072,3
tecnologico,1421313,3
tecnologico,1421322,5
tecnologico,1427034,2
tecnologico,1427492,4
tecnologico,1427683,4
bacharelado,1428280,3
tecnologico,1438348,4
bacharelado,1438615,2
bacharelado,1441206,4
bacharelado,1441524,3
bacharelado,1441526,3
tecnologico,1441602,4
bacharelado,1441848,4
tecnologico,1442656,4
tecnologico,1442893,4
bacharelado,1442894,3
tecnologico,1443285,3
tecnologico,1443506,4
tecnologico,1443824,3
bacharelado,1445259,5
bacharelado,1445314,5
bacharelado,1445320,4
bacharelado,1445321,5
bacharelado,1445322,4
bacharelado,1445323,4
bacharelado,1445324,3
tecnologico,1445343,0
tecnologico,1445887,5
bacharelado,1446544,3
tecnologico,1446760,4
tecnologico,1450989,4
tecnologico,1451895,3
tecnologico,1452069,4
tecnologico,1452469,1
bacharelado,1452762,4
bacharelado,1454791,5
tecnologico,1455263,4
bacharelado,1457087,5
bacharelado,1457268,3
bacharelado,1457276,3
bacharelado,1457293,4
bacharelado,1457344,4
bacharelado,1457495,2
bacharelado,1457499,3
bacharelado,1457500,4
bacharelado,1457515,4
bacharelado,1458011,4
bacharelado,1458140,4
tecnologico,1468231,4
tecnologico,1474144,4
bacharelado,1475096,4
tecnologico,1475623,5
tecnologico,1480103,3
tecnologico,1483540,4
tecnologico,1483743,4
bacharelado,1483827,4
bacharelado,1483828,4
bacharelado,1484420,4
tecnologico,1486977,4
tecnologico,1488242,3
tecnologico,1489933,3
tecnologico,1492144,2
tecnologico,1512308,3
tecnologico,1515686,4
tecnologico,1516681,4
tecnologico,1516954,4
tecnologico,1517704,2
tecnologico,1519156,2
tecnologico,1519716,4
tecnologico,1522133,4
tecnologico,1525967,4
tecnologico,1526170,3
tecnologico,1533815,2
tecnologico,1536438,3
