tp_grau_academico,co_curso,enade_faixa,cpc_faixa
bacharelado,107352,1,3
bacharelado,80088,5,4
bacharelado,101127,3,3
bacharelado,96429,5,4
bacharelado,1167971,4,4
bacharelado,116526,4,4
bacharelado,116842,4,4
bacharelado,102667,5,4
bacharelado,1152810,2,2
bacharelado,13447,4,4
licenciatura,19,3,4
licenciatura,106052,3,4
bacharelado,1168551,4,4
licenciatura,142,4,4
bacharelado,1192413,5,4
bacharelado,99423,3,4
licenciatura,101666,5,4
licenciatura,396,4,4
bacharelado,104364,3,4
bacharelado,104366,3,4
licenciatura,112102,2,3
licenciatura,487,4,4
licenciatura,112600,4,4
bacharelado,1083188,5,4
licenciatura,635,5,4
bacharelado,300635,5,4
licenciatura,687,5,5
bacharelado,300687,5,4
licenciatura,1114569,3,4
licenciatura,754,4,4
bacharelado,92157,4,4
licenciatura,99501,5,4
licenciatura,1438,4,4
bacharelado,301438,4,4
licenciatura,74215,4,4
licenciatura,50143,4,4
licenciatura,83964,3,3
licenciatura,91497,3,3
licenciatura,91649,3,4
licenciatura,1268525,3,3
licenciatura,123124,4,4
bacharelado,123128,5,4
licenciatura,21781,3,3
licenciatura,47331,2,3
licenciatura,99588,2,3
licenciatura,1349165,2,2
bacharelado,1457140,3,3
bacharelado,1457164,2,2
bacharelado,1458102,3,3
licenciatura,42148,5,5
licenciatura,47454,5,5
bacharelado,91897,5,5
bacharelado,91899,5,4
bacharelado,122951,5,4
licenciatura,3201,5,4
licenciatura,3207,4,4
licenciatura,120416,5,4
bacharelado,420416,4,4
bacharelado,1212124,5,4
bacharelado,1257438,3,4
licenciatura,3410,3,4
licenciatura,99397,5,4
bacharelado,303410,3,4
licenciatura,5000546,3,4
licenciatura,3563,3,3
licenciatura,72594,4,3
bacharelado,1215159,3,4
licenciatura,18088,2,2
licenciatura,3662,3,4
bacharelado,303662,4,4
licenciatura,4088,2,3
bacharelado,1146686,2,3
licenciatura,71816,4,4
bacharelado,1421316,5,4
licenciatura,92592,3,3
bacharelado,92601,3,3
licenciatura,92602,3,3
licenciatura,8426,4,4
bacharelado,95631,4,4
licenciatura,87487,2,2
bacharelado,150186,3,3
licenciatura,11300,4,4
bacharelado,311300,4,4
licenciatura,11435,4,4
bacharelado,1268388,5,4
licenciatura,1313224,4,4
bacharelado,11542,3,3
licenciatura,116196,3,3
licenciatura,11594,4,3
bacharelado,1376137,3,3
licenciatura,1457113,3,3
bacharelado,12327,5,4
licenciatura,312327,5,4
licenciatura,12562,4,4
bacharelado,312562,5,4
licenciatura,1321684,4,4
licenciatura,100406,5,4
licenciatura,12826,4,4
bacharelado,1112869,4,4
licenciatura,12915,4,4
licenciatura,12952,5,4
bacharelado,312952,5,4
licenciatura,13092,4,4
bacharelado,313092,5,4
bacharelado,1270439,4,4
licenciatura,13198,4,4
licenciatura,101940,3,4
bacharelado,104158,4,4
licenciatura,13318,5,4
licenciatura,13423,4,4
bacharelado,122288,5,4
licenciatura,13598,4,3
licenciatura,1155122,4,4
bacharelado,1192307,4,4
bacharelado,5000731,4,4
licenciatura,13721,4,4
bacharelado,88652,5,4
licenciatura,13877,4,4
bacharelado,103346,4,4
licenciatura,14000,5,4
bacharelado,100256,5,4
licenciatura,1191427,5,4
bacharelado,1191555,5,4
licenciatura,14123,4,4
bacharelado,1113011,4,4
licenciatura,14224,4,4
bacharelado,97099,5,4
bacharelado,44892,4,4
licenciatura,44893,4,4
licenciatura,1102627,4,4
bacharelado,102665,4,4
bacharelado,94115,5,4
licenciatura,101554,4,4
bacharelado,114417,4,4
licenciatura,100902,3,4
bacharelado,1292614,3,4
bacharelado,114444,4,4
bacharelado,62970,3,3
licenciatura,103569,3,3
bacharelado,64898,2,3
licenciatura,64900,2,2
bacharelado,102304,5,3
licenciatura,102306,4,3
licenciatura,15334,3,3
bacharelado,1120717,3,3
licenciatura,18312,4,4
licenciatura,18506,3,3
licenciatura,15836,5,4
licenciatura,122906,3,3
bacharelado,1419907,5,4
licenciatura,15990,3,3
licenciatura,150259,3,3
bacharelado,1376259,2,3
licenciatura,71115,2,3
licenciatura,96415,3,3
licenciatura,1404408,1,3
licenciatura,16396,3,4
bacharelado,102820,4,4
licenciatura,70624,3,3
